array_type;size;algorithm;time_microseconds;char_comparisons
nearly_sorted;2700;StringMergeSort;18882;14267
nearly_sorted;2700;MsdRadixSort;5939;13148
nearly_sorted;2700;MsdRadixSortWithQuickSort;1414;17714
nearly_sorted;2800;QuickSort;15292;417234
nearly_sorted;2800;MergeSort;6148;38565
nearly_sorted;2800;StringQuickSort;2636;30834
nearly_sorted;2800;StringMergeSort;20319;14943
nearly_sorted;2800;MsdRadixSort;3919;13650
nearly_sorted;2800;MsdRadixSortWithQuickSort;1415;18485
nearly_sorted;2900;QuickSort;16358;430684
nearly_sorted;2900;MergeSort;6080;39680
nearly_sorted;2900;StringQuickSort;1726;30693
nearly_sorted;2900;StringMergeSort;21248;15477
nearly_sorted;2900;MsdRadixSort;6744;14170
nearly_sorted;2900;MsdRadixSortWithQuickSort;2550;19123
nearly_sorted;3000;QuickSort;21226;415052
nearly_sorted;3000;MergeSort;6624;41104
nearly_sorted;3000;StringQuickSort;2179;32216
nearly_sorted;3000;StringMergeSort;21105;16169
nearly_sorted;3000;MsdRadixSort;4216;14652
nearly_sorted;3000;MsdRadixSortWithQuickSort;1435;19779
